gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YGL248W	72.28614	1.28454	0.3114576	9.689483e-07	5.294195e-05
YGL249W	27.03904	-0.1007419	0.27858683	0.5994757	0.7834355
YGL250W	7.955179	0.2397629	0.38158531	0.2636631	0.485033
YGL251C	28.65451	-2.525678	0.59741975	4.809171e-09	6.68251e-07
YGL252C	74.95805	0.2672508	0.23578059	0.1375304	0.3294884
YGL253W	71.8245	-0.04316989	0.26528577	0.8177823	0.9186406
YGL254W	9.801816	-0.3175129	0.39304125	0.1550759	0.3525794
YGL255W	76.01201	-1.294324	0.62871358	0.0002799279	0.004620357
YGL256W	115.9536	-3.617094	0.59571381	5.679692e-14	3.770685e-11
YGL257C	41.11047	-1.131698	0.34453637	3.173891e-05	0.0008580996
YGL258W	0.7532521	-0.2202049	0.55970706	0.1301524	NA
YGL258W-A	1.606114	0.001640913	0.4799022	0.9914622	NA
YGL259W	2.711547	-0.09187348	0.47269336	0.5840729	NA
YGL260W	0.09239199	0.01295129	0.59415871	0.7887441	NA
YGL261C	1.159334	0.1756316	0.5671034	0.1456593	NA
YGL262W	40.25066	0.2241292	0.27333237	0.2467435	0.4674358
YGL263W	17.49078	-0.3723098	0.36752825	0.09861849	0.2646849
YGR001C	515.9393	0.243796	0.22427318	0.1622322	0.361828
YGR002C	101.4665	-0.3985962	0.18139335	0.008995842	0.05451334
YGR003W	70.98468	0.5518665	0.28889036	0.0092524	0.0556728
YGR004W	38.34689	-0.5073245	0.34733239	0.02781819	0.117224
YGR005C	371.8224	-0.2142915	0.18179963	0.1592369	0.3576567
YGR006W	39.6148	0.09412056	0.25532799	0.6105771	0.7910912
YGR007W	68.40978	-0.06361498	0.17586975	0.6690699	0.8321592
YGR008C	647.9741	0.05060865	0.29923841	0.7957849	0.9067152
YGR009C	712.812	0.1909575	0.16852747	0.1857678	0.3938831
YGR010W	32.01893	-0.1355504	0.26243807	0.4704171	0.6889073
YGR012W	31.99778	0.1693805	0.25974711	0.3665255	0.5925298
YGR013W	499.5957	0.01113947	0.16286161	0.9370246	0.9764077
YGR014W	332.6767	-0.6816098	0.26662367	0.001064321	0.01198412
YGR015C	9.065431	0.1414876	0.35209417	0.4902265	0.7036039
YGR016C-A	0.6527369	-0.1876109	0.55375642	0.1641598	NA
YGR016W	21.39703	-0.5351381	0.44835662	0.03425332	0.1329203
YGR017W	104.3505	0.4935684	0.25944337	0.01197605	0.0665811
YGR018C	7.577467	-0.6515505	0.5695021	0.0157745	0.08083416
YGR019W	100.7878	0.1603162	0.25038819	0.3838548	0.6090102
YGR020C	31.80686	0.7599023	0.36344956	0.002767169	0.02399685
YGR021W	35.92839	-0.1825121	0.27002309	0.339997	0.5696005
YGR023W	81.6845	0.04911711	0.26520073	0.7932399	0.9051964
