gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YFL062W	483.9498	1.279723	0.2015065	3.556913e-12	3.096547e-09
YFL064C	0.5310515	-0.01599168	0.51325856	0.658285	NA
YFL065C	0.1680025	0.009746975	0.51047345	0.7854404	NA
YFL066C	7.185346	-0.274425	0.34432997	0.184268	0.3999037
YFL067W	9.793428	-0.4160624	0.37393833	0.05952693	0.204735
YFL068W	7.210545	-0.1007527	0.43943926	0.503208	0.7168185
YFR001W	660.4624	-0.07493079	0.20818336	0.6592688	0.8259836
YFR002W	112.1562	-0.007141647	0.16631993	0.9610674	0.9896452
YFR003C	310.0863	0.213259	0.20150196	0.2012213	0.4205221
YFR004W	324.7565	0.2623833	0.1423571	0.04243096	0.1642785
YFR005C	80.1144	-0.4300262	0.21968578	0.01524662	0.08707866
YFR006W	439.3557	0.3214422	0.13152391	0.007883287	0.05651853
YFR007W	40.8033	-0.2539157	0.26243523	0.1867416	0.4024487
YFR008W	9.440676	-0.6208753	0.49356426	0.01226727	0.0751324
YFR009W	200.8789	0.132951	0.16470234	0.3597429	0.594362
YFR010W	691.4493	0.5660873	0.21787783	0.001444801	0.01760924
YFR011C	12.13014	0.169084	0.32108852	0.3952516	0.6244421
YFR012W	1.025161	0.05757222	0.45878487	0.6341554	NA
YFR012W-A	0.3031301	-0.00754229	0.49413175	0.8788579	NA
YFR013W	112.9779	0.2244255	0.17834753	0.1442919	0.3471436
YFR014C	606.6416	0.01825609	0.24092295	0.9205265	0.9671877
YFR015C	403.6691	-0.3315472	0.24256408	0.07562962	0.2373259
YFR016C	1165.051	-0.1247805	0.16098649	0.3819094	0.612187
YFR017C	330.1093	0.9520428	0.38556126	0.0003011185	0.005807012
YFR018C	13.72719	-0.1660406	0.30021222	0.4004517	0.6283091
YFR019W	384.8879	0.2139944	0.1585164	0.1287999	0.3242848
YFR020W	32.54759	-0.08774822	0.27250736	0.6467822	0.8181407
YFR021W	25.8891	0.06743801	0.26141765	0.7211152	0.8591351
