gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YBR106W	58.20726	0.03270387	0.35270434	0.9035463	0.9537545
YBR107C	6.596827	-0.6813269	0.4671549	0.02878122	0.09011912
YBR108W	92.15899	0.2201883	0.24189095	0.2882886	0.4713793
YBR109C	21.70643	-0.2411239	0.31707731	0.3439671	0.5294647
YBR110W	67.67789	-0.1582894	0.2421389	0.4456079	0.6225435
YBR111C	106.0258	1.115203	0.23216058	1.394823e-07	6.800043e-06
YBR111W-A	9.718003	-1.504	0.57442306	4.32249e-05	0.0006378027
YBR112C	207.9218	-0.1459349	0.25233929	0.4968661	0.6681419
YBR114W	364.6339	0.3839913	0.17640901	0.01783237	0.06377375
YBR115C	104.2625	0.05425666	0.20153094	0.7598588	0.8628357
YBR117C	112.1933	0.1757495	0.37939098	0.5297933	0.6959604
YBR118W	706.2313	0.6327679	0.63174624	0.02846977	0.08934356
YBR119W	155.2162	-0.2668842	0.19786242	0.1264872	0.2695151
YBR120C	130.9537	0.1549269	0.21627525	0.4104061	0.5908388
YBR121C	990.2611	1.131916	0.27910484	3.681117e-06	9.425514e-05
YBR122C	373.657	0.7955841	0.15566135	1.094186e-07	5.603334e-06
YBR123C	323.5946	0.485737	0.17335833	0.002886146	0.01603297
YBR125C	54.85152	-0.6350447	0.28546109	0.009684219	0.04028371
YBR126C	432.0818	0.07580387	0.27483594	0.7416759	0.8508608
YBR126W-A	93.17302	0.3202555	0.27821274	0.1694781	0.3300878
YBR127C	83.60599	-0.03426252	0.2611349	0.8768888	0.9388296
YBR128C	133.698	-0.03250073	0.22293281	0.8670284	0.9336758
YBR129C	97.74599	0.06569935	0.2030218	0.7129592	0.83042
YBR130C	118.4427	-0.1192904	0.22148931	0.5353358	0.7003727
YBR131W	41.5453	-0.008276458	0.25930942	0.9699884	0.9904674
YBR132C	169.0498	-0.01903531	0.34425522	0.9430623	0.974567
YBR133C	100.4785	-0.1069382	0.21965421	0.575838	0.7332129
YBR135W	19.08097	-0.2919474	0.31994743	0.2556492	0.4357836
YBR136W	109.3659	-0.7322231	0.21747173	0.0002719055	0.00264273
YBR137W	19.00577	0.403021	0.44323989	0.174648	0.3368053
YBR138C	67.92598	-0.3782952	0.26530412	0.09418574	0.2187378
YBR139W	151.9951	-1.289342	0.27251038	7.331284e-08	4.061531e-06
YBR140C	571.9465	-0.1860383	0.15433779	0.1767571	0.3392623
YBR141C	23.9283	0.07536135	0.32235268	0.769111	0.8680893
YBR142W	526.5618	1.191902	0.27267247	6.86902e-07	2.536958e-05
YBR143C	147.4391	0.7517	0.25631617	0.001035965	0.007418531
YBR144C	5.109752	-0.9045122	0.49622098	0.00551008	0.02660731
YBR145W	57.06034	-0.2091119	0.33106379	0.4239318	0.6036076
YBR146W	55.26599	0.6988959	0.23361102	0.001021802	0.00735167
YBR147W	155.6888	0.2310363	0.33586094	0.3814137	0.5643157
YBR148W	142.2623	-0.114615	0.24903899	0.5898458	0.7435799
YBR149W	112.5401	-1.019085	0.25874553	1.053944e-05	0.0002085304
YBR150C	105.1412	-0.7600526	0.21925324	0.0001759106	0.001858401
YBR151W	106.2081	0.178925	0.24713719	0.3965598	0.5775897
YBR152W	105.8654	0.0850438	0.2432172	0.6835976	0.8094492
YBR153W	11.3202	-0.3575229	0.36893361	0.2007718	0.3709835
YBR154C	42.43467	0.5289776	0.3600267	0.05897722	0.1555202
YBR155W	277.9585	1.148849	0.30459253	1.022104e-05	0.0002055678
YBR156C	63.62428	0.2125304	0.33482682	0.4195712	0.5989382
YBR157C	6.267734	-0.1941329	0.44198992	0.5021021	0.6727706
YBR158W	33.22893	-0.2443983	0.24728473	0.2475782	0.4269219
YBR159W	67.65897	-0.717878	0.2753425	0.002892813	0.01605538
YBR160W	32.0109	0.5640628	0.36362501	0.04582412	0.1274542
YBR161W	90.76333	-0.107465	0.2350173	0.5958488	0.7475974
YBR162C	29.05458	0.06915089	0.36900726	0.8019246	0.8911248
YBR162W-A	332.7774	-0.687423	0.26693181	0.003468794	0.01851036
YBR163W	114.8944	-0.8414491	0.22058703	3.634082e-05	0.0005495309
YBR164C	14.2456	-0.2819106	0.37786711	0.3156581	0.5004216
YBR165W	60.44926	-0.4677963	0.25650616	0.03580716	0.1060738
YBR166C	66.46982	0.1844414	0.2451089	0.3788782	0.5618923
YBR167C	16.44558	0.01943542	0.33393773	0.9408879	0.9741371
YBR168W	23.85785	-0.1324439	0.30985658	0.5968975	0.7482177
YBR169C	1332.228	0.8351157	0.27383859	0.0005382015	0.004474489
YBR170C	110.2244	-0.6510673	0.23452428	0.002213979	0.01313975
YBR171W	62.80952	0.3893312	0.25783429	0.07865386	0.1907348
YBR172C	898.9316	0.8884896	0.24460915	6.082763e-05	0.0008292697
YBR173C	64.09414	0.4009079	0.33954477	0.1350902	0.2812571
YBR175W	24.82505	-0.2757977	0.38911758	0.3316113	0.5171032
YBR176W	24.2143	-0.5416702	0.31608362	0.03731218	0.1094227
YBR177C	279.3401	0.6366082	0.29695198	0.0115811	0.04609133
YBR179C	175.291	0.1095497	0.17543387	0.4815903	0.6526154
YBR180W	6.360854	-0.04500441	0.42497259	0.8750756	0.9380334
YBR181C	321.2528	0.5338744	0.34268519	0.05039858	0.137295
YBR182C	18.7666	0.2529282	0.36104916	0.3572178	0.5444548
YBR182C-A	9.506652	-0.5692774	0.46167587	0.06259393	0.1619896
YBR183W	257.6275	-0.03682729	0.27551527	0.8730391	0.9363429
YBR184W	27.08348	0.137791	0.34271074	0.6048099	0.7529543
YBR185C	35.53032	0.2425278	0.26210513	0.2738048	0.4545264
YBR186W	10.14816	-0.4913602	0.44978443	0.1028132	0.2338723
YBR187W	43.41928	0.1782076	0.35016894	0.5086735	0.6778606
YBR188C	64.61056	0.8193414	0.29374362	0.001222519	0.008370819
YBR189W	659.2535	0.7094801	0.41015154	0.01874104	0.06636136
YBR191W	153.8859	0.2767851	0.29264392	0.2515531	0.4310925
YBR192W	40.15956	0.03182748	0.25778295	0.8844151	0.9419925
YBR193C	88.10897	0.5206499	0.28886719	0.03321804	0.1006117
YBR194W	22.22409	-2.368036	0.44182038	1.333677e-11	3.250972e-09
YBR195C	40.05144	-0.5068368	0.28384694	0.0355721	0.1055761
YBR196C	182.3907	-0.2987923	0.34004442	0.2625575	0.4433714
YBR196C-A	2.887506	-0.009565085	0.53740834	0.9698019	0.9904674
YBR196C-B	1.005134	-0.1864116	0.60077945	0.3701062	NA
YBR197C	13.18059	0.4313262	0.4069831	0.1402459	0.2895184
YBR198C	210.1875	0.4773848	0.17096122	0.003004898	0.01654187
YBR199W	114.3374	0.1272475	0.19639152	0.4612184	0.6356094
YBR200W	143.6688	0.4326788	0.21473392	0.02479945	0.08129524
YBR200W-A	0.8357334	-0.2752512	0.6479719	0.1376783	NA
