gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YGL150C	988.0611	0.2857506	0.17783949	0.08631615	0.2162425
YGL151W	203.563	-0.07297329	0.16528411	0.6407128	0.796818
YGL153W	232.0698	-0.0286921	0.2007334	0.8765519	0.9408596
YGL154C	57.76773	-0.5668207	0.27110469	0.01431997	0.06107064
YGL155W	19.07863	-0.5992807	0.31521382	0.01812644	0.07197331
YGL156W	81.46744	-0.07651903	0.31112074	0.759715	0.8772346
YGL157W	23.75602	-0.03289601	0.36333302	0.9009601	0.9561649
YGL158W	83.13713	0.02320335	0.39422737	0.9304145	0.9734675
YGL159W	29.57948	-0.9720688	0.3338448	0.0002279259	0.002857345
YGL160W	82.48934	-0.1787407	0.25665017	0.4225244	0.6271799
YGL161C	127.177	-0.5424358	0.24167433	0.01101641	0.05056573
YGL162W	79.33217	-0.8069785	0.27427326	0.0005534586	0.005559621
YGL163C	998.6765	0.7217355	0.24150126	0.0007156543	0.006592502
YGL164C	220.6936	0.1003313	0.2086135	0.5985893	0.7667833
YGL166W	27.83814	0.2014424	0.3636744	0.4474535	0.6490007
YGL167C	238.9287	-0.9283233	0.15751123	5.225646e-10	1.015408e-07
YGL168W	8.621594	-0.3003583	0.39801036	0.2637972	0.4683305
YGL169W	40.83742	0.3951545	0.26502397	0.08280943	0.2096535
YGL170C	184.4793	0.4315729	0.41785925	0.1118587	0.2586602
YGL171W	139.5204	0.5331601	0.25179915	0.01530883	0.063929
YGL172W	28.4864	-0.2101079	0.25669158	0.3458276	0.5547874
YGL173C	733.335	0.4190388	0.13864831	0.001661823	0.01250995
YGL174W	81.77825	1.117548	0.27535841	1.907334e-06	7.231587e-05
YGL175C	43.27796	0.1209209	0.24597669	0.5760971	0.7494083
YGL176C	27.75899	-0.1728621	0.29149459	0.4744826	0.6709163
YGL178W	299.3779	-0.1468633	0.20193861	0.4287281	0.6324332
YGL179C	126.7528	-0.6114551	0.21305703	0.001578134	0.01206991
YGL180W	375.5439	0.1141098	0.18224774	0.5027114	0.6937105
YGL181W	61.68053	-0.4071697	0.22252277	0.04219687	0.1322682
YGL183C	31.8576	0.1228603	0.36308975	0.6423952	0.7976065
YGL184C	24.75892	-0.9529318	0.36116577	0.0005030511	0.005136243
YGL185C	22.97044	-0.2684526	0.29812051	0.2730357	0.4782354
YGL186C	120.7252	-0.7954166	0.31023104	0.001623412	0.01232525
YGL187C	14.6842	-0.2176157	0.41758499	0.4117482	0.6164822
YGL188C-A	31.15416	-1.75995	0.74668816	5.152457e-06	0.0001525618
YGL189C	535.754	0.06873322	0.36176167	0.7947308	0.897619
YGL190C	257.9036	-0.1862832	0.23456728	0.3723756	0.5801983
YGL191W	165.4482	-0.2438959	0.40337815	0.3617515	0.5691728
YGL192W	34.24959	0.02381518	0.27226973	0.9181725	0.9663502
