gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YEL067C	1.778837	0.2429485	0.8882875	0.6809016	0.7744233
YEL068C	1.649607	1.183131	1.06441605	0.05186905	0.08999053
YEL069C	5.516075	-1.615763	0.7716286	0.006265081	0.01376018
YEL070W	10.46459	-2.291051	0.83901308	0.0002138911	0.0006538369
YEL071W	253.5899	-3.188182	0.36182695	2.100558e-21	1.332384e-19
YEL072W	44.60739	-1.904341	0.33928947	3.674784e-09	2.666951e-08
YEL073C	6.962018	-0.1553162	0.71029901	0.7828162	0.8566948
YEL075C	0.8033856	0.09935553	1.12436485	0.8342901	0.8970846
YEL076C	0.9279733	-0.5778167	1.11885253	0.2690865	0.3704027
YEL076C-A	0.08680215	-0.07579883	1.29891824	0.7435506	0.824247
YEL077C	164.3695	-0.4062124	0.31241344	0.1755033	0.2598546
YER001W	143.248	0.2932716	0.2874375	0.2908182	0.3944953
YER002W	282.8183	0.8557854	0.27437391	0.001290397	0.003336725
YER003C	28.85841	0.4924836	0.49873607	0.2724423	0.373967
YER004W	9.967225	-0.5281184	0.5052364	0.2439715	0.3412373
YER005W	39.6254	-0.6296267	0.26091298	0.01300347	0.02633494
YER006W	717.3697	2.358955	0.26884811	1.012616e-19	4.369405e-18
YER007C-A	17.09193	1.469107	0.52596721	0.001670723	0.004180432
YER007W	19.17507	-0.7738529	0.39106258	0.03488639	0.06335081
YER008C	1097.182	0.1708506	0.20778855	0.4023931	0.512526
YER009W	157.2428	-0.1655189	0.33878779	0.6083032	0.7105833
YER010C	13.22734	-0.4774005	0.41127249	0.2126671	0.3047092
YER011W	1085.161	0.3836454	0.52866904	0.4135232	0.5240715
YER012W	76.16638	0.2090944	0.2034588	0.2956208	0.3987925
YER013W	365.1574	0.4788863	0.13414657	0.0003207311	0.0009466716
YER014C-A	2.349507	0.1490713	0.84164861	0.8008038	0.8714185
YER014W	33.59503	0.0398057	0.33059388	0.8997283	0.947216
YER015W	44.18215	0.07408223	0.32844552	0.8135057	0.8817612
YER016W	28.06199	0.7248983	0.38017532	0.04278685	0.075894
YER017C	139.2586	0.003008081	0.19134778	0.9872627	1
YER018C	30.07914	-0.3309104	0.37512935	0.349459	0.4571109
YER019C-A	264.1587	-0.392321	0.38178502	0.2746859	0.3765577
YER019W	63.81751	-1.698094	0.39448922	4.301396e-06	1.789099e-05
YER020W	151.7258	-0.4331707	0.21571653	0.04051971	0.07235825
YER021W	88.47537	-0.8752062	0.28647665	0.001573226	0.00397867
YER022W	127.1616	0.522607	0.14313521	0.0002298173	0.0006991682
YER023W	77.53949	0.36512	0.25132024	0.1356449	0.2075243
YER024W	94.04799	-2.375442	0.3630121	3.03044e-12	3.813905e-11
YER025W	477.6986	0.9165346	0.21690621	1.646448e-05	6.139577e-05
YER026C	229.4011	-0.8656514	0.18380252	1.787365e-06	7.978365e-06
YER027C	86.89861	-0.2642023	0.21607234	0.2123258	0.3042888
YER028C	19.8914	-0.3488554	0.43868487	0.388568	0.4987226
YER029C	344.9028	0.558006	0.19342709	0.003372896	0.007926743
